Weapon,Number,2H,Dice,Add,St,Dex,Cost,Weight,Range
Great Sword,1,X,6,0,21,18,120,170,0
Broadsword,1,,3,4,15,10,70,120,0
Short Sword,1,,3,0,7,3,35,30,0
Falchion,1,,4,4,12,13,75,110,0
Scimitar,1,,4,0,10,11,60,100,0
Doublebitted Axe,1,X,6,3,21,10,140,220,0
Heavy Mace,1,X,5,2,17,3,120,200,0
Bludgeon,1,,3,0,5,2,15,50,0
Quarterstaff,1,X,,2,0,2,8,10,50,0
Trident,1,X,4,3,10,10,60,75,10
Common Spear,1,,,3,1,8,8,22,50,40
Sax (dagger),1,,2,5,7,10,30,25,0
Dirk,1,,2,1,1,4,18,16,10
Crossbow,1,X,5,0,15,10,50,180,100
Medium Longbow,1,X,4,3,15,15,100,60,140
Very light bow,1,X,2,0,9,15,50,30,60
Sheaf(24 Arrows),24,,0,0,0,0,40,10,0
Curare (poison),3,,0,0,0,0,100,1,0
